#	timestep	msd
837	23.71741882
838	23.75329858
839	23.78878663
840	23.82384780
841	23.85846757
842	23.89265406
843	23.92643217
844	23.95984905
845	23.99296897
846	24.02587192
847	24.05864885
848	24.09138984
849	24.12417285
850	24.15706164
851	24.19009612
852	24.22329515
853	24.25665895
854	24.29017464
855	24.32383167
856	24.35762687
857	24.39156224
858	24.42564137
859	24.45987089
860	24.49425811
861	24.52881966
862	24.56357990
863	24.59857741
864	24.63385402
865	24.66944973
866	24.70539929
867	24.74172765
868	24.77845200
869	24.81558374
870	24.85312034
871	24.89105085
872	24.92935053
873	24.96797642
874	25.00686698
875	25.04594956
876	25.08514046
877	25.12435979
878	25.16354312
879	25.20264740
880	25.24166519
881	25.28062928
882	25.31960394
883	25.35867875
884	25.39794602
885	25.43749032
886	25.47740002
887	25.51776527
888	25.55867425
889	25.60020344
890	25.64239205
891	25.68523617
892	25.72869425
893	25.77270272
894	25.81719614
895	25.86212562
896	25.90747523
897	25.95325196
898	25.99946389
899	26.04609651
900	26.09311105
901	26.14045679
902	26.18809167
903	26.23599379
904	26.28417984
905	26.33270274
906	26.38165022
907	26.43110521
908	26.48110536
909	26.53162560
910	26.58260877
911	26.63398914
912	26.68572800
913	26.73781679
914	26.79025143
915	26.84301309
916	26.89605952
917	26.94932640
918	27.00274040
919	27.05622577
920	27.10969657
921	27.16304218
922	27.21611476
923	27.26871987
924	27.32062183
925	27.37155024
926	27.42122151
927	27.46936893
928	27.51574255
929	27.56012908
930	27.60235381
931	27.64228134
932	27.67981544
933	27.71490874
934	27.74757829
935	27.77788779
936	27.80593880
937	27.83183297
938	27.85565645
939	27.87748573
940	27.89739500
941	27.91547242
942	27.93182162
943	27.94660154
944	27.96003000
945	27.97242941
946	27.98421599
947	27.99587515
948	28.00790766
949	28.02080271
950	28.03502990
951	28.05104245
952	28.06924652
953	28.09000909
954	28.11365353
955	28.14045141
956	28.17062998
957	28.20436035
958	28.24175158
959	28.28285601
960	28.32767468
961	28.37616993
962	28.42829076
963	28.48399464
964	28.54325690
965	28.60609336
966	28.67253849
967	28.74264109
968	28.81642082
969	28.89382686
970	28.97476877
971	29.05911605
972	29.14667352
973	29.23720040
974	29.33040295
975	29.42591638
976	29.52330642
977	29.62204012
978	29.72151530
979	29.82115913
980	29.92049966
981	30.01914939
982	30.11676998
983	30.21307281
